_id,ADDRESS,APPLICATION_FOR,BALLOTS_BLANK,BALLOTS_CAST,BALLOTS_DISTRIBUTED,BALLOTS_IN_FAVOUR,BALLOTS_NEEDED_TO_PROCEED,BALLOTS_NEEDED_TO_PROCEED_LBL,BALLOTS_OPPOSED,BALLOTS_RECEIVED_BY_VOTERS,BALLOTS_RETURNED_TO_SENDER,BALLOTS_SPOILED,CLOSE_DATE,DECLARATIONS_ADDED,FINAL_VOTER_COUNT,MORATORIUM_DATE,OPEN_DATE,PASS_RATE,PASS_RATE_LABEL,POLL_CD,POLL_ID,POLL_RESULT,POTENTIAL_VOTERS,RESPONSE_RATE_MET
801129,415 Spadina Rd,Boulevard Cafe,0,40,218,39,41,25% of ballots received by voters,1,161,57,0,2017-11-15,0,218,2019-11-16,2017-10-16,N/A,50% + 1 of received ballots,BCP 2017-170,773,Response Rate Not Met,224,No
801130,186 Quebec Ave,Appeal - Front Yard Parking,0,47,129,30,31,25% of ballots received by voters,16,121,8,1,2017-11-18,0,129,2020-11-19,2017-10-19,25,50% + 1 of received ballots,FYPA 2017-171,774,In Favour,153,Yes
801131,188 Quebec Ave,Appeal - Front Yard Parking,0,44,129,29,31,25% of ballots received by voters,14,123,6,1,2017-11-18,0,129,2020-11-19,2017-10-19,23,50% + 1 of received ballots,FYPA 2017-172,775,In Favour,153,Yes
801132,NA,Traffic Calming,0,50,92,37,47,50% + 1 of ballots received by voters,9,91,1,4,2017-11-30,0,92,2019-12-01,2017-10-31,30,60% of received ballots,TCP 2017-173,776,In Favour,107,Yes
801133,NA,Traffic Calming,0,174,387,119,187,50% + 1 of ballots received by voters,37,372,15,18,2017-12-01,2,387,2019-12-02,2017-11-01,N/A,60% of received ballots,TCP 2017-174,777,Response Rate Not Met,427,No
801134,NA,Traffic Calming,0,54,75,43,38,50% + 1 of ballots received by voters,11,73,2,0,2017-11-22,0,75,2019-11-23,2017-10-23,33,60% of received ballots,TCP 2017-175,778,In Favour,85,Yes
801135,NA,Traffic Calming,0,57,115,32,56,50% + 1 of ballots received by voters,23,110,5,2,2017-11-24,0,115,2019-11-25,2017-10-25,35,60% of received ballots,TCP 2017-176,779,Opposed,123,Yes
801136,NA,Traffic Calming,0,36,65,18,32,50% + 1 of ballots received by voters,15,62,3,3,2017-11-25,0,65,2019-11-26,2017-10-26,22,60% of received ballots,TCP 2017-177,780,Opposed,78,Yes
801137,859 Bloor St W,Boulevard Cafe,0,39,154,30,37,25% of ballots received by voters,7,147,7,2,2017-11-29,0,154,2019-11-30,2017-10-30,21,50% + 1 of received ballots,BCP 2017-178,781,In Favour,187,Yes
801138,76 Castlefield Ave,Front Yard Parking,0,74,113,69,28,25% of ballots received by voters,2,110,3,3,2017-11-22,0,113,2020-11-23,2017-10-23,38,50% + 1 of received ballots,FYP 2017-179,782,In Favour,150,Yes
801139,97 Roslin Ave,Appeal - Front Yard Parking,0,21,60,6,15,25% of ballots received by voters,13,60,0,2,2017-11-29,0,60,2020-11-30,2017-10-30,12,50% + 1 of received ballots,FYPA 2017-180,783,Opposed,70,Yes
801140,2755 Dundas St W,Boulevard Cafe,0,31,92,17,22,25% of ballots received by voters,6,85,7,8,2017-12-02,0,92,2019-12-03,2017-11-02,17,50% + 1 of received ballots,BCP 2017-181,784,In Favour,120,Yes
801141,52 Belvidere Ave,Appeal - Front Yard Parking,0,23,74,17,19,25% of ballots received by voters,5,74,0,1,2017-11-30,0,74,2020-12-01,2017-10-31,13,50% + 1 of received ballots,FYPA 2017-182,785,In Favour,91,Yes
801142,NA,Traffic Calming,0,77,125,56,63,50% + 1 of ballots received by voters,11,123,2,10,2017-12-07,0,125,2019-12-08,2017-11-07,47,60% of received ballots,TCP 2017-183,790,In Favour,152,Yes
801143,NA,Traffic Calming,0,56,113,45,57,50% + 1 of ballots received by voters,8,111,2,3,2017-12-08,0,113,2019-12-09,2017-11-08,N/A,60% of received ballots,TCP 2017-184,791,Response Rate Not Met,147,No
801144,NA,Traffic Calming,0,58,107,34,55,50% + 1 of ballots received by voters,24,107,0,0,2017-12-09,0,107,2019-12-10,2017-11-09,35,60% of received ballots,TCP 2017-185,793,Opposed,114,Yes
801145,NA,Traffic Calming,0,3,10,3,6,50% + 1 of ballots received by voters,0,10,0,0,2017-12-09,0,10,2019-12-10,2017-11-09,N/A,60% of received ballots,TCP 2017-186,794,Response Rate Not Met,13,No
801146,NA,Traffic Calming,0,53,73,29,37,50% + 1 of ballots received by voters,23,72,1,1,2017-12-13,0,73,2019-12-14,2017-11-13,32,60% of received ballots,TCP 2017-187,795,Opposed,82,Yes
801147,33 Church St (York),Front Yard Parking,0,5,28,5,7,25% of ballots received by voters,0,27,1,0,2017-12-09,0,28,2020-12-10,2017-11-09,N/A,50% + 1 of received ballots,FYP 2017-188,796,Response Rate Not Met,78,No
801148,128 Cameron Ave (York),Front Yard Parking,0,52,79,45,20,25% of ballots received by voters,0,79,0,7,2017-12-13,0,79,2020-12-14,2017-11-13,27,50% + 1 of received ballots,FYP 2017-189,797,In Favour,99,Yes
801149,NA,Traffic Calming,0,72,235,43,111,50% + 1 of ballots received by voters,16,220,15,13,2017-12-30,0,235,2019-12-31,2017-11-30,N/A,60% of received ballots,TCP 2017-190,798,Response Rate Not Met,271,No
801150,NA,Traffic Calming,0,60,206,36,101,50% + 1 of ballots received by voters,7,200,6,17,2017-12-30,0,206,2019-12-31,2017-11-30,N/A,60% of received ballots,TCP 2017-191,799,Response Rate Not Met,265,No
801151,NA,Traffic Calming,0,40,89,17,40,50% + 1 of ballots received by voters,12,78,11,11,2017-12-20,0,89,2019-12-21,2017-11-20,24,60% of received ballots,TCP 2017-192,800,Opposed,117,Yes
801152,NA,Traffic Calming,0,57,95,43,48,50% + 1 of ballots received by voters,11,94,1,3,2017-12-23,0,95,2019-12-24,2017-11-23,35,60% of received ballots,TCP 2017-193,801,In Favour,109,Yes
801153,87 Hanna Rd,Front Yard Parking,0,30,50,8,13,25% of ballots received by voters,21,50,0,1,2018-01-03,1,50,2021-01-04,2017-12-04,16,50% + 1 of received ballots,FYP 2017-194,802,Opposed,58,Yes
801154,9 Bellefair Ave,Appeal - Front Yard Parking,0,42,83,34,21,25% of ballots received by voters,1,82,1,7,2018-01-03,0,83,2021-01-04,2017-12-04,22,50% + 1 of received ballots,FYPA 2017-195,803,In Favour,154,Yes
801155,NA,Traffic Calming,0,3,11,2,7,50% + 1 of ballots received by voters,1,11,0,0,2018-01-03,0,11,2020-01-04,2017-12-04,N/A,60% of received ballots,TCP 2017-196,804,Response Rate Not Met,12,No
801156,NA,Traffic Calming,0,10,42,9,22,50% + 1 of ballots received by voters,0,42,0,1,2018-01-10,0,42,2020-01-11,2017-12-11,N/A,60% of received ballots,TCP 2017-197,805,Response Rate Not Met,59,No
801157,NA,Traffic Calming,0,34,49,34,26,50% + 1 of ballots received by voters,0,49,0,0,2018-01-11,0,49,2020-01-12,2017-12-12,21,60% of received ballots,TCP 2017-198,806,In Favour,59,Yes
801158,383 Quebec Ave,Front Yard Parking,0,41,92,36,22,25% of ballots received by voters,2,87,5,3,2018-01-06,0,92,2021-01-07,2017-12-07,22,50% + 1 of received ballots,FYP 2017-199,807,In Favour,128,Yes
801159,108 Mountview Ave,Front Yard Parking,0,12,13,9,4,25% of ballots received by voters,0,13,0,3,2018-01-06,0,13,2021-01-07,2017-12-07,7,50% + 1 of received ballots,FYP 2017-200,808,In Favour,896,Yes
801160,22 Bushey Ave,Front Yard Parking,0,47,98,38,24,25% of ballots received by voters,5,96,2,4,2018-01-10,0,98,2021-01-11,2017-12-11,25,50% + 1 of received ballots,FYP 2017-201,809,In Favour,155,Yes
801161,492 St Clarens Ave,Appeal - Front Yard Parking,0,39,145,29,35,25% of ballots received by voters,6,139,6,4,2018-01-12,0,145,2021-01-13,2017-12-13,21,50% + 1 of received ballots,FYPA 2017-202,810,In Favour,167,Yes
801162,479 Danforth Ave,Boulevard Cafe,0,17,54,12,13,25% of ballots received by voters,4,52,2,1,2018-01-17,0,54,2020-01-18,2017-12-18,10,50% + 1 of received ballots,BCP 2017-203,811,In Favour,69,Yes
801163,118 Robina Ave,Appeal - Front Yard Parking,0,57,151,30,35,25% of ballots received by voters,5,139,12,22,2018-02-14,0,151,2021-02-15,2018-01-15,30,50% + 1 of received ballots,FYPA 2017-204,812,In Favour,174,Yes
801164,17 Dilworth Cres,Appeal - Front Yard Parking,0,53,96,46,24,25% of ballots received by voters,2,96,0,5,2018-02-15,0,96,2021-02-16,2018-01-16,28,50% + 1 of received ballots,FYPA 2017-205,813,In Favour,106,Yes
801165,21 Braeside Rd,Front Yard Parking,0,31,46,30,12,25% of ballots received by voters,0,45,1,1,2018-02-17,0,46,2021-02-18,2018-01-18,17,50% + 1 of received ballots,FYP 2017-206,814,In Favour,55,Yes
801166,1288 Dundas St W,Boulevard Cafe,0,31,105,11,24,25% of ballots received by voters,8,94,11,12,2018-02-21,0,105,2020-02-22,2018-01-22,17,50% + 1 of received ballots,BCP 2017-207,815,Opposed,136,Yes
801167,125 Trowell Ave,Appeal - Front Yard Parking,0,28,81,24,18,25% of ballots received by voters,1,71,10,3,2018-02-17,2,81,2021-02-18,2018-01-18,15,50% + 1 of received ballots,FYPA 2017-209,817,In Favour,98,Yes
801168,46 Bicknell Ave,Appeal - Front Yard Parking,0,12,53,12,13,25% of ballots received by voters,0,51,2,0,2018-02-10,0,53,2021-02-11,2018-01-11,N/A,50% + 1 of received ballots,FYPA 2017-210,818,Response Rate Not Met,71,No
801169,255 Campbell Ave,Front Yard Parking,0,41,73,33,19,25% of ballots received by voters,1,73,0,7,2018-02-14,0,73,2021-02-15,2018-01-15,22,50% + 1 of received ballots,FYP 2017-211,819,In Favour,241,Yes
801170,24 Homeview Ave,Front Yard Parking,0,33,68,26,17,25% of ballots received by voters,3,68,0,4,2018-02-14,0,68,2021-02-15,2018-01-15,18,50% + 1 of received ballots,FYP 2017-212,820,In Favour,82,Yes
801171,50 Guestville Ave,Front Yard Parking,0,36,79,32,19,25% of ballots received by voters,2,75,4,2,2018-02-16,0,79,2021-02-17,2018-01-17,19,50% + 1 of received ballots,FYP 2017-214,822,In Favour,91,Yes
801172,14 Edgewood Grv,Front Yard Parking,0,19,30,19,8,25% of ballots received by voters,0,30,0,0,2018-02-17,0,30,2021-02-18,2018-01-18,11,50% + 1 of received ballots,FYP 2017-215,823,In Favour,34,Yes
801173,NA,Permit Parking,0,101,397,34,86,25% of ballots received by voters,64,341,56,3,2018-03-03,2,397,2020-03-04,2018-02-01,52,50% + 1 of received ballots,PPP 2018-001,824,Opposed,450,Yes
801174,NA,Permit Parking,0,26,178,3,44,25% of ballots received by voters,17,173,5,6,2018-03-03,0,178,2020-03-04,2018-02-01,N/A,50% + 1 of received ballots,PPP 2018-002,825,Response Rate Not Met,224,No
801175,NA,Permit Parking,0,43,264,8,60,25% of ballots received by voters,32,238,26,3,2018-03-03,0,264,2020-03-04,2018-02-01,N/A,50% + 1 of received ballots,PPP 2018-003,826,Response Rate Not Met,305,No
801176,425 Armadale Ave,Front Yard Parking,0,33,64,33,16,25% of ballots received by voters,0,64,0,0,2018-02-22,2,64,2021-02-23,2018-01-23,18,50% + 1 of received ballots,FYP 2018-005,828,In Favour,85,Yes
801177,354 Wallace Ave,Front Yard Parking,0,23,49,23,12,25% of ballots received by voters,0,47,2,0,2018-03-15,0,49,2021-03-16,2018-02-13,13,50% + 1 of received ballots,FYP 2018-006,829,In Favour,292,Yes
801178,41 Rusholme Dr,Front Yard Parking,0,21,56,21,14,25% of ballots received by voters,0,56,0,0,2018-02-24,0,56,2021-02-25,2018-01-25,12,50% + 1 of received ballots,FYP 2018-007,830,In Favour,91,Yes
801179,19 Le May Rd,Appeal - Front Yard Parking,0,38,56,21,14,25% of ballots received by voters,15,54,2,2,2018-02-28,0,56,2021-03-01,2018-01-29,20,50% + 1 of received ballots,FYPA 2018-008,831,In Favour,62,Yes
801180,26 St Annes Rd,Appeal - Front Yard Parking,0,26,73,24,18,25% of ballots received by voters,0,70,3,2,2018-03-03,0,73,2021-03-04,2018-02-01,14,50% + 1 of received ballots,FYPA 2018-009,832,In Favour,101,Yes
801181,72 Coolmine Rd,Appeal - Front Yard Parking,0,46,62,37,16,25% of ballots received by voters,5,62,0,4,2018-02-28,0,62,2021-03-01,2018-01-29,24,50% + 1 of received ballots,FYPA 2018-010,833,In Favour,86,Yes
801182,444 Westmount Ave,Appeal - Front Yard Parking,0,36,165,22,41,25% of ballots received by voters,9,164,1,5,2018-02-28,0,165,2021-03-01,2018-01-29,N/A,50% + 1 of received ballots,FYPA 2018-011,834,Response Rate Not Met,213,No
801183,83 Campbell Ave,Appeal - Front Yard Parking,0,46,151,42,35,25% of ballots received by voters,0,140,11,4,2018-03-01,0,151,2021-03-02,2018-01-30,24,50% + 1 of received ballots,FYPA 2018-012,835,In Favour,197,Yes
801184,884 Queen St E,Boulevard Cafe,0,33,51,26,13,25% of ballots received by voters,5,50,1,2,2018-03-10,0,51,2020-03-11,2018-02-08,18,50% + 1 of received ballots,BCP 2018-015,838,In Favour,56,Yes
801185,NA,Traffic Calming,0,25,71,18,32,50% + 1 of ballots received by voters,7,62,9,0,2018-03-14,0,71,2020-03-15,2018-02-12,N/A,60% of received ballots,TCP 2018-016,841,Response Rate Not Met,80,No
801186,NA,Traffic Calming,1,31,119,15,59,50% + 1 of ballots received by voters,14,117,2,1,2018-03-07,0,119,2020-03-08,2018-02-05,N/A,60% of received ballots,TCP 2018-017,842,Response Rate Not Met,128,No
801187,97 Roslin Ave,Appeal - Front Yard Parking,0,28,60,12,15,25% of ballots received by voters,14,59,1,2,2018-03-07,0,60,2021-03-08,2018-02-05,15,50% + 1 of received ballots,FYPA 2018-018,843,Opposed,70,Yes
801188,160 Cedric Ave,Appeal - Front Yard Parking,0,53,185,23,44,25% of ballots received by voters,23,176,9,7,2018-03-02,0,185,2021-03-03,2018-01-31,28,50% + 1 of received ballots,FYPA 2018-019,844,Opposed,235,Yes
801189,NA,Traffic Calming,1,49,82,43,41,50% + 1 of ballots received by voters,4,80,2,1,2018-03-16,0,82,2020-03-17,2018-02-14,30,60% of received ballots,TCP 2018-020,845,In Favour,96,Yes
801190,328 Glenholme Ave,Front Yard Parking,0,20,38,14,9,25% of ballots received by voters,3,33,5,3,2018-03-16,0,38,2021-03-17,2018-02-14,11,50% + 1 of received ballots,FYP 2018-021,846,In Favour,48,Yes
801191,165 Wallace Ave,Front Yard Parking,0,17,88,15,21,25% of ballots received by voters,0,83,5,2,2018-03-17,0,88,2021-03-18,2018-02-15,N/A,50% + 1 of received ballots,FYP 2018-022,847,Response Rate Not Met,121,No
801192,NA,Traffic Calming,0,82,616,61,298,50% + 1 of ballots received by voters,12,593,23,9,2018-03-16,0,616,2020-03-17,2018-02-14,N/A,60% of received ballots,TCP 2018-025,850,Response Rate Not Met,744,No
801193,NA,Permit Parking,0,22,95,13,23,25% of ballots received by voters,8,90,5,1,2018-03-15,0,95,2020-03-16,2018-02-13,N/A,50% + 1 of received ballots,PPP 2018-026,851,Response Rate Not Met,110,No
801194,NA,Permit Parking,0,58,234,23,57,25% of ballots received by voters,33,226,8,2,2018-03-17,0,234,2020-03-18,2018-02-15,30,50% + 1 of received ballots,PPP 2018-027,852,Opposed,265,Yes
801195,NA,Traffic Calming,0,39,69,31,32,50% + 1 of ballots received by voters,5,62,7,3,2018-03-17,1,69,2020-03-18,2018-02-15,24,60% of received ballots,TCP 2018-028,855,In Favour,77,Yes
801196,NA,Traffic Calming,0,123,192,96,88,50% + 1 of ballots received by voters,21,173,19,6,2018-03-22,0,192,2020-03-23,2018-02-20,74,60% of received ballots,TCP 2018-029,856,In Favour,217,Yes
801197,53 Brookside Ave,Appeal - Front Yard Parking,0,37,62,31,15,25% of ballots received by voters,4,60,2,2,2018-03-28,0,62,2021-03-29,2018-02-26,20,50% + 1 of received ballots,FYPA 2018-030,857,In Favour,71,Yes
801198,55 Brookside Ave,Appeal - Front Yard Parking,0,37,62,31,15,25% of ballots received by voters,3,60,2,3,2018-03-29,0,62,2021-03-30,2018-02-27,20,50% + 1 of received ballots,FYPA 2018-031,858,In Favour,71,Yes
801199,104 Mountview Ave,Appeal - Front Yard Parking,0,11,11,11,3,25% of ballots received by voters,0,11,0,0,2018-03-29,0,11,2021-03-30,2018-02-27,7,50% + 1 of received ballots,FYPA 2018-032,859,In Favour,16,Yes
801200,299 Mortimer Ave,Appeal - Front Yard Parking,0,52,76,43,19,25% of ballots received by voters,8,76,0,1,2018-03-23,0,76,2021-03-24,2018-02-21,27,50% + 1 of received ballots,FYPA 2018-034,861,In Favour,84,Yes
801201,161 Linsmore Cres,Appeal - Front Yard Parking,0,54,106,42,27,25% of ballots received by voters,12,105,1,0,2018-03-23,0,106,2021-03-24,2018-02-21,28,50% + 1 of received ballots,FYPA 2018-035,862,In Favour,115,Yes
801202,102 Mountview Ave,Appeal - Front Yard Parking,0,13,13,13,4,25% of ballots received by voters,0,13,0,0,2018-03-24,0,13,2021-03-25,2018-02-22,8,50% + 1 of received ballots,FYPA 2018-036,863,In Favour,902,Yes
801203,29 Rowland St,Front Yard Parking,0,32,76,29,18,25% of ballots received by voters,0,69,7,3,2018-03-22,0,76,2021-03-23,2018-02-20,17,50% + 1 of received ballots,FYP 2018-037,864,In Favour,110,Yes
801204,57 Beresford Ave,Front Yard Parking,0,41,107,33,26,25% of ballots received by voters,4,104,3,4,2018-03-24,0,107,2021-03-25,2018-02-22,22,50% + 1 of received ballots,FYP 2018-038,865,In Favour,129,Yes
801205,358 Fairlawn Ave,Front Yard Parking,0,29,59,27,15,25% of ballots received by voters,0,59,0,2,2018-03-29,0,59,2021-03-30,2018-02-27,16,50% + 1 of received ballots,FYP 2018-039,866,In Favour,187,Yes
801206,45 Poplar Plains Cres,Front Yard Parking,0,32,46,24,11,25% of ballots received by voters,5,44,2,3,2018-04-04,0,46,2021-04-05,2018-03-05,17,50% + 1 of received ballots,FYP 2018-040,867,In Favour,51,Yes
801207,119 Russett Ave,Front Yard Parking,0,63,125,56,30,25% of ballots received by voters,2,118,7,5,2018-04-05,0,125,2021-04-06,2018-03-06,33,50% + 1 of received ballots,FYP 2018-041,868,In Favour,152,Yes
801208,53 Denison Rd W,Front Yard Parking,1,47,71,39,18,25% of ballots received by voters,0,71,0,7,2018-04-05,1,71,2021-04-06,2018-03-06,25,50% + 1 of received ballots,FYP 2018-042,869,In Favour,89,Yes
801209,NA,Proposed Business Improvement Area,0,7,20,7,6,30% of ballots received by voters or 100,0,20,0,0,2018-04-13,2,20,2020-04-14,2018-02-12,4,50% of received ballots,PBIA 2018-043,870,In Favour,54,Yes
801210,9 Durie St,Appeal - Front Yard Parking,0,30,67,25,16,25% of ballots received by voters,3,61,6,2,2018-03-28,0,67,2021-03-29,2018-02-26,16,50% + 1 of received ballots,FYPA 2018-044,871,In Favour,72,Yes
801211,272 Rusholme Rd,Front Yard Parking,0,33,78,14,17,25% of ballots received by voters,17,67,11,2,2018-03-30,0,78,2021-03-31,2018-02-28,18,50% + 1 of received ballots,FYP 2018-045,872,Opposed,98,Yes
801212,266 Waverley Rd,Appeal - Front Yard Parking,1,49,106,23,27,25% of ballots received by voters,23,106,0,2,2018-03-30,0,106,2021-03-31,2018-02-28,26,50% + 1 of received ballots,FYPA 2018-046,873,Opposed,123,Yes
801213,102 Bellefair Ave,Appeal - Front Yard Parking,0,43,84,13,20,25% of ballots received by voters,30,80,4,0,2018-04-04,0,84,2021-04-05,2018-03-05,23,50% + 1 of received ballots,FYPA 2018-047,874,Opposed,96,Yes
801214,42 Bellhaven Rd,Appeal - Front Yard Parking,0,42,59,37,15,25% of ballots received by voters,0,57,2,5,2018-04-12,2,59,2021-04-13,2018-03-13,22,50% + 1 of received ballots,FYPA 2018-048,875,In Favour,69,Yes
801215,117 Symington Ave,Front Yard Parking,0,91,200,86,44,25% of ballots received by voters,1,175,25,4,2018-04-13,0,200,2021-04-14,2018-03-14,47,50% + 1 of received ballots,FYP 2018-049,876,In Favour,260,Yes
801216,432 Margueretta St,Front Yard Parking,0,49,183,33,44,25% of ballots received by voters,4,174,9,12,2018-04-06,0,183,2021-04-07,2018-03-07,26,50% + 1 of received ballots,FYP 2018-050,877,In Favour,233,Yes
801217,5 Osler St,Front Yard Parking,0,35,75,29,17,25% of ballots received by voters,3,65,10,3,2018-04-14,0,75,2021-04-15,2018-03-15,19,50% + 1 of received ballots,FYP 2018-051,878,In Favour,103,Yes
801218,245 Symington Ave,Front Yard Parking,0,32,128,28,29,25% of ballots received by voters,0,116,12,4,2018-04-18,0,128,2021-04-19,2018-03-19,17,50% + 1 of received ballots,FYP 2018-052,879,In Favour,162,Yes
801219,NA,Traffic Calming,0,120,343,53,159,50% + 1 of ballots received by voters,50,315,28,17,2018-04-07,0,343,2020-04-08,2018-03-08,N/A,60% of received ballots,TCP 2018-053,880,Response Rate Not Met,433,No
801220,715 Oriole Pkwy,Appeal - Front Yard Parking,0,7,35,5,9,25% of ballots received by voters,1,35,0,1,2018-04-12,0,35,2021-04-13,2018-03-13,N/A,50% + 1 of received ballots,FYPA 2018-054,881,Response Rate Not Met,41,No
801221,NA,Traffic Calming,0,122,335,51,152,50% + 1 of ballots received by voters,54,302,33,17,2018-04-27,0,335,2020-04-28,2018-03-28,N/A,60% of received ballots,TCP 2018-055,882,Response Rate Not Met,401,No
801222,890 College St (former Toronto),Boulevard Cafe,0,13,135,10,27,25% of ballots received by voters,2,106,29,1,2018-04-07,0,135,2020-04-08,2018-03-08,N/A,50% + 1 of received ballots,BCP 2018-056,883,Response Rate Not Met,170,No
801223,NA,Permit Parking,0,13,19,11,5,25% of ballots received by voters,0,19,0,2,2018-04-18,0,19,2020-04-19,2018-03-19,8,50% + 1 of received ballots,PPP 2018-057,884,In Favour,21,Yes
801224,4 Glencairn Ave,Front Yard Parking,0,33,58,28,15,25% of ballots received by voters,0,57,1,5,2018-04-19,0,58,2021-04-20,2018-03-20,18,50% + 1 of received ballots,FYP 2018-058,885,In Favour,69,Yes
801225,62 Runnymede Rd,Front Yard Parking,0,58,104,48,26,25% of ballots received by voters,6,104,0,4,2018-04-11,0,104,2021-04-12,2018-03-12,30,50% + 1 of received ballots,FYP 2018-059,886,In Favour,123,Yes
801226,104 Highland Ave,Appeal - Front Yard Parking,0,5,21,4,6,25% of ballots received by voters,0,21,0,1,2018-04-11,0,21,2021-04-12,2018-03-12,N/A,50% + 1 of received ballots,FYPA 2018-060,887,Response Rate Not Met,21,No
801227,633 Lauder Ave,Appeal - Front Yard Parking,0,10,42,8,9,25% of ballots received by voters,1,36,6,1,2018-04-06,0,42,2021-04-07,2018-03-07,6,50% + 1 of received ballots,FYPA 2018-061,888,In Favour,284,Yes
801228,343 Melrose Ave,Front Yard Parking,0,11,43,9,11,25% of ballots received by voters,0,43,0,2,2018-04-13,0,43,2021-04-14,2018-03-14,7,50% + 1 of received ballots,FYP 2018-062,889,In Favour,58,Yes
801229,244 Perth Ave,Commercial Boulevard Parking,0,19,63,11,16,25% of ballots received by voters,8,61,2,0,2018-04-27,0,63,2020-04-28,2018-03-28,11,50% + 1 of received ballots,CBP 2018-063,890,In Favour,91,Yes
801230,NA,Traffic Calming,0,35,55,23,29,50% + 1 of ballots received by voters,10,55,0,2,2018-04-14,0,55,2020-04-15,2018-03-15,21,60% of received ballots,TCP 2018-064,891,In Favour,62,Yes
801231,223 Hamilton St,Appeal - Front Yard Parking,0,43,86,28,21,25% of ballots received by voters,15,82,4,0,2018-04-20,0,86,2021-04-21,2018-03-21,23,50% + 1 of received ballots,FYPA 2018-065,892,In Favour,96,Yes
801232,249 Arlington Ave,Front Yard Parking,0,41,103,34,26,25% of ballots received by voters,5,103,0,2,2018-04-19,0,103,2021-04-20,2018-03-20,22,50% + 1 of received ballots,FYP 2018-066,893,In Favour,111,Yes
801233,17 Guestville Ave,Front Yard Parking,0,48,104,43,26,25% of ballots received by voters,5,102,2,0,2018-04-20,0,104,2021-04-21,2018-03-21,25,50% + 1 of received ballots,FYP 2018-067,894,In Favour,123,Yes
801234,NA,Traffic Calming,1,131,202,107,102,50% + 1 of ballots received by voters,16,202,0,7,2018-04-25,0,202,2020-04-26,2018-03-26,79,60% of received ballots,TCP 2018-068,895,In Favour,260,Yes
801235,392 Lauder Ave,Appeal - Front Yard Parking,0,25,75,22,19,25% of ballots received by voters,1,74,1,2,2018-04-21,0,75,2021-04-22,2018-03-22,14,50% + 1 of received ballots,FYPA 2018-069,896,In Favour,98,Yes
801236,184 Rosemount Ave (former Toronto),Appeal - Front Yard Parking,0,34,64,31,15,25% of ballots received by voters,0,57,7,3,2018-04-25,0,64,2021-04-26,2018-03-26,18,50% + 1 of received ballots,FYPA 2018-070,897,In Favour,87,Yes
801237,26 Baldwin St,Boulevard Cafe,0,31,184,20,42,25% of ballots received by voters,9,167,17,2,2018-04-21,0,184,2020-04-22,2018-03-22,N/A,50% + 1 of received ballots,BCP 2018-071,898,Response Rate Not Met,201,No
801238,74 Humewood Dr,Front Yard Parking,0,8,16,8,4,25% of ballots received by voters,0,16,0,0,2018-04-26,0,16,2021-04-27,2018-03-27,5,50% + 1 of received ballots,FYP 2018-072,899,In Favour,18,Yes
801239,NA,Traffic Calming,0,93,136,72,67,50% + 1 of ballots received by voters,14,131,5,7,2018-04-26,0,136,2020-04-27,2018-03-27,56,60% of received ballots,TCP 2018-073,900,In Favour,182,Yes
801240,38 Maxwell Ave,Appeal - Front Yard Parking,0,34,56,32,14,25% of ballots received by voters,0,55,1,2,2018-04-28,0,56,2021-04-29,2018-03-29,18,50% + 1 of received ballots,FYPA 2018-074,901,In Favour,131,Yes
801241,604A Harvie Ave,Front Yard Parking,0,37,85,33,21,25% of ballots received by voters,0,84,1,4,2018-05-03,0,85,2021-05-04,2018-04-03,20,50% + 1 of received ballots,FYP 2018-075,902,In Favour,98,Yes
801242,NA,Traffic Calming,0,66,199,46,77,50% + 1 of ballots received by voters,15,151,48,5,2018-05-03,0,199,2020-05-04,2018-04-03,N/A,60% of received ballots,TCP 2018-076,903,Response Rate Not Met,264,No
801243,34 Ellerbeck St,Appeal - Front Yard Parking,0,51,75,23,19,25% of ballots received by voters,27,73,2,1,2018-05-09,4,75,2021-05-10,2018-04-09,27,50% + 1 of received ballots,FYPA 2018-077,904,Opposed,92,Yes
801244,106 Millwood Rd,Appeal - Front Yard Parking,0,38,74,31,19,25% of ballots received by voters,2,74,0,5,2018-05-09,0,74,2021-05-10,2018-04-09,20,50% + 1 of received ballots,FYPA 2018-079,906,In Favour,85,Yes
801245,165 Fairlawn Ave,Front Yard Parking,0,76,131,67,32,25% of ballots received by voters,1,128,3,8,2018-05-10,0,131,2021-05-11,2018-04-10,39,50% + 1 of received ballots,FYP 2018-080,907,In Favour,148,Yes
801246,356 Bartlett Ave N,Front Yard Parking,0,61,145,31,36,25% of ballots received by voters,6,143,2,24,2018-05-19,0,145,2021-05-20,2018-04-19,32,50% + 1 of received ballots,FYP 2018-081,908,Opposed,197,Yes
801247,NA,Traffic Calming,0,56,104,49,46,50% + 1 of ballots received by voters,4,90,14,3,2018-05-18,0,104,2020-05-19,2018-04-18,34,60% of received ballots,TCP 2018-082,909,In Favour,121,Yes
801248,NA,Traffic Calming,0,92,157,74,74,50% + 1 of ballots received by voters,15,145,12,3,2018-05-19,1,157,2020-05-20,2018-04-19,56,60% of received ballots,TCP 2018-083,910,In Favour,189,Yes
801249,535 Queen St W,Boulevard Cafe,0,44,159,40,39,25% of ballots received by voters,3,155,4,1,2018-05-26,0,159,2020-05-27,2018-04-26,23,50% + 1 of received ballots,BCP 2018-084,911,In Favour,168,Yes
