_id,ADDRESS,APPLICATION_FOR,BALLOTS_BLANK,BALLOTS_CAST,BALLOTS_DISTRIBUTED,BALLOTS_IN_FAVOUR,BALLOTS_NEEDED_TO_PROCEED,BALLOTS_NEEDED_TO_PROCEED_LBL,BALLOTS_OPPOSED,BALLOTS_RECEIVED_BY_VOTERS,BALLOTS_RETURNED_TO_SENDER,BALLOTS_SPOILED,CLOSE_DATE,DECLARATIONS_ADDED,FINAL_VOTER_COUNT,MORATORIUM_DATE,OPEN_DATE,PASS_RATE,PASS_RATE_LABEL,POLL_CD,POLL_ID,POLL_RESULT,POTENTIAL_VOTERS,RESPONSE_RATE_MET
800667,36 Vaughan Rd,Boulevard Cafe,0,35,93,11,21,25% of ballots received by voters,21,83,10,3,2015-09-23,0,93,2017-09-24,2015-08-24,19,50% + 1 of received ballots,BCP 2015-188,257,Opposed,108,Yes
800668,79 Ellerbeck St,Appeal - Front Yard Parking,0,51,101,30,24,25% of ballots received by voters,14,95,6,7,2015-10-02,0,101,2018-10-03,2015-09-02,27,50% + 1 of received ballots,FYPA 2015-189,258,In Favour,131,Yes
800669,366 Old Orchard Grv,Appeal - Front Yard Parking,1,54,111,48,26,25% of ballots received by voters,2,104,7,3,2015-10-02,0,111,2018-10-03,2015-09-02,28,50% + 1 of received ballots,FYPA 2015-190,259,In Favour,135,Yes
800670,153 Westwood Ave,Appeal - Front Yard Parking,0,15,46,13,12,25% of ballots received by voters,0,46,0,2,2015-10-02,0,46,2018-10-03,2015-09-02,9,50% + 1 of received ballots,FYPA 2015-191,260,In Favour,48,Yes
800671,38 Rambert Cres,Appeal - Front Yard Parking,0,27,35,26,9,25% of ballots received by voters,0,35,0,1,2015-10-03,0,35,2018-10-04,2015-09-03,15,50% + 1 of received ballots,FYPA 2015-192,261,In Favour,42,Yes
800672,24 Royal St,Appeal - Front Yard Parking,0,70,115,67,29,25% of ballots received by voters,0,115,0,3,2015-10-02,1,115,2018-10-03,2015-09-02,36,50% + 1 of received ballots,FYPA 2015-193,262,In Favour,145,Yes
800673,531 Northcliffe Blvd,Appeal - Front Yard Parking,0,38,123,29,29,25% of ballots received by voters,8,115,8,1,2015-10-03,0,123,2018-10-04,2015-09-03,20,50% + 1 of received ballots,FYPA 2015-194,263,In Favour,140,Yes
800674,193 Eastwood Rd,Appeal - Front Yard Parking,0,12,35,8,9,25% of ballots received by voters,4,33,2,0,2015-10-03,0,35,2018-10-04,2015-09-03,7,50% + 1 of received ballots,FYPA 2015-195,264,In Favour,37,Yes
800675,27 Strathearn Blvd,Front Yard Parking,0,24,33,15,9,25% of ballots received by voters,6,33,0,3,2015-10-03,0,33,2018-10-04,2015-09-03,13,50% + 1 of received ballots,FYP 2015-196,265,In Favour,34,Yes
800676,38 Harwood Rd,Front Yard Parking,0,21,32,21,8,25% of ballots received by voters,0,32,0,0,2015-10-08,0,32,2018-10-09,2015-09-08,12,50% + 1 of received ballots,FYP 2015-197,266,In Favour,37,Yes
800677,52 Bicknell Ave,Front Yard Parking,0,20,52,20,13,25% of ballots received by voters,0,52,0,0,2015-10-08,0,52,2018-10-09,2015-09-08,11,50% + 1 of received ballots,FYP 2015-198,267,In Favour,75,Yes
800678,76 Alameda Ave,Front Yard Parking,0,24,38,19,10,25% of ballots received by voters,1,38,0,4,2015-10-08,0,38,2018-10-09,2015-09-08,13,50% + 1 of received ballots,FYP 2015-199,268,In Favour,43,Yes
800679,NA,Traffic Calming,0,150,319,119,158,50% + 1 of ballots received by voters,21,313,6,10,2015-10-15,0,319,2017-10-16,2015-09-15,N/A,60% of received ballots,TCP 2015-200,269,Response Rate Not Met,384,No
800680,NA,Permit Parking,0,60,294,28,68,25% of ballots received by voters,28,270,24,4,2015-10-16,2,294,2017-10-17,2015-09-16,N/A,50% + 1 of received ballots,PPP 2015-201,270,Response Rate Not Met,311,No
800681,351 Nairn Ave,Appeal - Front Yard Parking,0,25,49,23,12,25% of ballots received by voters,0,47,2,2,2015-10-21,0,49,2018-10-22,2015-09-21,14,50% + 1 of received ballots,FYPA 2015-202,271,In Favour,71,Yes
800682,263 Glenholme Ave,Front Yard Parking,0,23,68,20,17,25% of ballots received by voters,0,67,1,3,2015-10-17,0,68,2018-10-18,2015-09-17,13,50% + 1 of received ballots,FYP 2015-203,272,In Favour,93,Yes
800683,216 Glenholme Ave,Appeal - Front Yard Parking,0,46,95,33,22,25% of ballots received by voters,7,88,7,6,2015-10-22,0,95,2018-10-23,2015-09-22,24,50% + 1 of received ballots,FYPA 2015-204,273,In Favour,117,Yes
800684,424 Millwood Rd,Front Yard Parking,0,45,74,45,19,25% of ballots received by voters,0,73,1,0,2015-10-17,0,74,2018-10-18,2015-09-17,24,50% + 1 of received ballots,FYP 2015-206,275,In Favour,87,Yes
800685,329 St Clements Ave,Front Yard Parking,0,38,78,36,20,25% of ballots received by voters,0,77,1,2,2015-10-29,0,78,2018-10-30,2015-09-29,20,50% + 1 of received ballots,FYP 2015-207,276,In Favour,102,Yes
800686,93 Kennedy Ave,Appeal - Front Yard Parking,0,37,85,28,20,25% of ballots received by voters,3,80,5,6,2015-10-23,0,85,2018-10-24,2015-09-23,20,50% + 1 of received ballots,FYPA 2015-208,277,In Favour,117,Yes
800687,739 Queen St E,Commercial Boulevard Parking,0,11,86,5,21,25% of ballots received by voters,5,83,3,1,2015-10-30,0,86,2017-10-31,2015-09-30,N/A,50% + 1 of received ballots,CBP 2015-209,278,Response Rate Not Met,102,No
800688,2205 Queen St E,Commercial Boulevard Parking,0,11,28,5,7,25% of ballots received by voters,6,26,2,0,2015-10-24,0,28,2017-10-25,2015-09-24,7,50% + 1 of received ballots,CBP 2015-210,279,Opposed,54,Yes
800689,1330 Gerrard St E,Commercial Boulevard Parking,0,10,85,4,21,25% of ballots received by voters,6,84,1,0,2015-10-31,0,85,2017-11-01,2015-10-01,N/A,50% + 1 of received ballots,CBP 2015-211,280,Response Rate Not Met,115,No
800690,377 Winnett Ave,Front Yard Parking,0,49,103,39,25,25% of ballots received by voters,7,97,6,3,2015-10-24,0,103,2018-10-25,2015-09-24,26,50% + 1 of received ballots,FYP 2015-212,281,In Favour,111,Yes
800691,20 Durham Ave,Front Yard Parking,0,13,28,12,7,25% of ballots received by voters,0,26,2,1,2015-10-28,3,28,2018-10-29,2015-09-28,8,50% + 1 of received ballots,FYP 2015-213,282,In Favour,29,Yes
800692,10 Hiawatha Rd,Front Yard Parking,0,32,114,30,28,25% of ballots received by voters,1,111,3,1,2015-10-28,0,114,2018-10-29,2015-09-28,17,50% + 1 of received ballots,FYP 2015-214,283,In Favour,135,Yes
800693,158 Lyndhurst Ave,Front Yard Parking,0,30,65,21,15,25% of ballots received by voters,3,58,7,6,2015-10-29,0,65,2018-10-30,2015-09-29,16,50% + 1 of received ballots,FYP 2015-215,284,In Favour,81,Yes
800694,135 Cedric Ave,Front Yard Parking,0,34,153,25,36,25% of ballots received by voters,8,143,10,1,2015-10-29,0,153,2018-10-30,2015-09-29,N/A,50% + 1 of received ballots,FYP 2015-216,285,Response Rate Not Met,194,No
800695,33 Pinewood Ave,Front Yard Parking,0,54,102,50,20,25% of ballots received by voters,0,80,22,4,2015-10-31,0,102,2018-11-01,2015-10-01,28,50% + 1 of received ballots,FYP 2015-217,286,In Favour,149,Yes
800696,NA,Traffic Calming,0,88,205,59,100,50% + 1 of ballots received by voters,11,197,8,18,2015-11-05,0,205,2017-11-06,2015-10-06,N/A,60% of received ballots,TCP 2015-219,288,Response Rate Not Met,248,No
800697,17 Bellefair Ave,Front Yard Parking,0,63,100,54,25,25% of ballots received by voters,2,100,0,7,2015-11-13,1,100,2018-11-14,2015-10-14,33,50% + 1 of received ballots,FYP 2015-220,289,In Favour,135,Yes
800698,76 Glengarry Ave,Front Yard Parking,0,47,100,45,25,25% of ballots received by voters,0,99,1,2,2015-11-14,1,100,2018-11-15,2015-10-15,25,50% + 1 of received ballots,FYP 2015-221,290,In Favour,112,Yes
800699,75 Ronald Ave,Front Yard Parking,0,17,39,16,9,25% of ballots received by voters,0,34,5,1,2015-11-18,0,39,2018-11-19,2015-10-19,10,50% + 1 of received ballots,FYP 2015-222,291,In Favour,44,Yes
800700,284 Atlas Ave,Front Yard Parking,0,46,144,39,31,25% of ballots received by voters,6,123,21,1,2015-11-13,0,144,2018-11-14,2015-10-14,24,50% + 1 of received ballots,FYP 2015-223,292,In Favour,165,Yes
800701,88 Maclean Ave,Front Yard Parking,0,21,46,21,11,25% of ballots received by voters,0,43,3,0,2015-11-14,0,46,2018-11-15,2015-10-15,12,50% + 1 of received ballots,FYP 2015-224,293,In Favour,56,Yes
800702,151 Everden Rd,Front Yard Parking,0,24,37,24,10,25% of ballots received by voters,0,37,0,0,2015-11-14,0,37,2018-11-15,2015-10-15,13,50% + 1 of received ballots,FYP 2015-225,294,In Favour,38,Yes
800703,16 Raymond Ave,Appeal - Front Yard Parking,0,22,29,19,8,25% of ballots received by voters,3,29,0,0,2015-11-21,0,29,2018-11-22,2015-10-22,12,50% + 1 of received ballots,FYPA 2015-226,295,In Favour,39,Yes
800704,442 Armadale Ave,Appeal - Front Yard Parking,0,39,84,23,21,25% of ballots received by voters,6,82,2,10,2015-11-21,0,84,2018-11-22,2015-10-22,21,50% + 1 of received ballots,FYPA 2015-227,296,In Favour,110,Yes
800705,14 Ellis Park Rd,Appeal - Front Yard Parking,0,23,48,6,12,25% of ballots received by voters,17,46,2,0,2015-11-25,0,48,2018-11-26,2015-10-26,13,50% + 1 of received ballots,FYPA 2015-228,297,Opposed,55,Yes
800706,46 Laws St,Appeal - Front Yard Parking,0,66,147,43,34,25% of ballots received by voters,10,134,13,13,2015-11-25,0,147,2018-11-26,2015-10-26,34,50% + 1 of received ballots,FYPA 2015-229,298,In Favour,183,Yes
800707,51 Montgomery Ave (former Toronto),Appeal - Front Yard Parking,0,15,47,14,12,25% of ballots received by voters,0,46,1,1,2015-11-27,0,47,2018-11-28,2015-10-28,9,50% + 1 of received ballots,FYPA 2015-230,299,In Favour,56,Yes
800708,196 Roselawn Ave,Appeal - Front Yard Parking,0,19,42,19,10,25% of ballots received by voters,0,39,3,0,2015-11-26,0,42,2018-11-27,2015-10-27,11,50% + 1 of received ballots,FYPA 2015-231,300,In Favour,45,Yes
